Job 215: Waiting time = 0.0009317370131611824 | Resolution time = 0.0008145831525325775 | Resolution type = None
Job 216: Waiting time = 0.0012080948799848557 | Resolution time = 0.0011942293494939804 | Resolution type = None
Job 217: Waiting time = 0.0008432371541857719 | Resolution time = 0.0008305180817842484 | Resolution type = None
Job 218: Waiting time = 0.0010663382709026337 | Resolution time = 0.001053287647664547 | Resolution type = None
Job 219: Waiting time = 0.0008890703320503235 | Resolution time = 0.0008762245997786522 | Resolution type = None
Job 220: Waiting time = 0.0008257059380412102 | Resolution time = 0.0008113551884889603 | Resolution type = None
Job 221: Waiting time = 0.0012152036651968956 | Resolution time = 0.0011998564004898071 | Resolution type = None
Job 222: Waiting time = 0.00015252456068992615 | Resolution time = 0.00013892538845539093 | Resolution type = Policy
Job 223: Waiting time = 0.000855686143040657 | Resolution time = 0.0008422872051596642 | Resolution type = None
Job 224: Waiting time = 0.0008696354925632477 | Resolution time = 0.0008564535528421402 | Resolution type = None
Job 225: Waiting time = 0.001083873212337494 | Resolution time = 0.0010710172355175018 | Resolution type = None
Job 226: Waiting time = 0.0011940998956561089 | Resolution time = 0.0011809691786766052 | Resolution type = None
Job 227: Waiting time = 0.0011923033744096756 | Resolution time = 0.001170075498521328 | Resolution type = None
Job 228: Waiting time = 0.0008380655199289322 | Resolution time = 0.0008240658789873123 | Resolution type = None

----- VACATION Started -----
Start time: 3.0001732297241688
Duration: 11.077460252679884
Jobs in the system: 830
------ VACATION ENDED ------

--- Normal Period 2 starts... ---
Job 229: Waiting time = 11.074913440272212 | Resolution time = 0.00151913333684206 | Resolution type = None
Job 230: Waiting time = 11.066134457476437 | Resolution time = 0.0008486751466989517 | Resolution type = None
Job 231: Waiting time = 11.052669323980808 | Resolution time = 0.0006565479561686516 | Resolution type = None
Job 232: Waiting time = 11.042482397519052 | Resolution time = 0.0007026344537734985 | Resolution type = None
Job 233: Waiting time = 11.031852817162871 | Resolution time = 0.000607621856033802 | Resolution type = None
Job 234: Waiting time = 11.018121350556612 | Resolution time = 0.0005656527355313301 | Resolution type = None
Job 235: Waiting time = 11.005384486168623 | Resolution time = 0.0005834177136421204 | Resolution type = None
Job 236: Waiting time = 10.993350995704532 | Resolution time = 0.0006448235362768173 | Resolution type = None
Job 237: Waiting time = 10.981502950191498 | Resolution time = 0.000636284239590168 | Resolution type = None
Job 238: Waiting time = 10.970061769708991 | Resolution time = 0.0006634583696722984 | Resolution type = None
Job 239: Waiting time = 10.953465552069247 | Resolution time = 0.0005599474534392357 | Resolution type = None
Job 240: Waiting time = 10.94871777202934 | Resolution time = 0.0005700523033738136 | Resolution type = None
Job 241: Waiting time = 10.941687010228634 | Resolution time = 0.0005654701963067055 | Resolution type = None
Job 242: Waiting time = 10.927657146938145 | Resolution time = 0.0005792258307337761 | Resolution type = None
Job 243: Waiting time = 10.912642155773938 | Resolution time = 0.0006487388163805008 | Resolution type = None
Job 244: Waiting time = 10.901820027269423 | Resolution time = 0.0006817411631345749 | Resolution type = None
Job 245: Waiting time = 10.893232738599181 | Resolution time = 0.0006433399394154549 | Resolution type = None
Job 246: Waiting time = 10.875079522840679 | Resolution time = 0.0005878899246454239 | Resolution type = None
Job 247: Waiting time = 10.866484495811164 | Resolution time = 0.000613347627222538 | Resolution type = None
Job 248: Waiting time = 10.853129812516272 | Resolution time = 0.0005712378770112991 | Resolution type = None
Job 249: Waiting time = 10.840018115006387 | Resolution time = 0.0007685860618948936 | Resolution type = None
Job 250: Waiting time = 10.817907160148025 | Resolution time = 0.0006426488980650902 | Resolution type = None
Job 251: Waiting time = 10.811209355480969 | Resolution time = 0.0006199423223733902 | Resolution type = None
Job 252: Waiting time = 10.799015517346561 | Resolution time = 0.0006645955145359039 | Resolution type = None
Job 253: Waiting time = 10.786450808867812 | Resolution time = 0.0006165299564599991 | Resolution type = None
Job 254: Waiting time = 10.769715065136552 | Resolution time = 0.0006023580208420753 | Resolution type = None
Job 255: Waiting time = 10.753859741613269 | Resolution time = 0.0006230054423213005 | Resolution type = None
Job 256: Waiting time = 10.740216560661793 | Resolution time = 0.000661063939332962 | Resolution type = None
Job 257: Waiting time = 10.729375634342432 | Resolution time = 0.0007532164454460144 | Resolution type = None
Job 258: Waiting time = 10.716485742479563 | Resolution time = 0.000573478639125824 | Resolution type = None
Job 259: Waiting time = 10.704805750399828 | Resolution time = 0.000562228262424469 | Resolution type = None
Job 260: Waiting time = 10.690642881207168 | Resolution time = 0.0005789753049612045 | Resolution type = None
Job 261: Waiting time = 10.681019886396825 | Resolution time = 0.000567764975130558 | Resolution type = None
Job 262: Waiting time = 10.66548416763544 | Resolution time = 0.0007108729332685471 | Resolution type = None
Job 263: Waiting time = 10.654010602273047 | Resolution time = 0.0006380043923854828 | Resolution type = None
Job 264: Waiting time = 10.637340493500233 | Resolution time = 0.0005982536822557449 | Resolution type = None
Job 265: Waiting time = 10.626674863509834 | Resolution time = 0.0005724728107452393 | Resolution type = None
Job 266: Waiting time = 10.615015153773129 | Resolution time = 0.0005875630304217339 | Resolution type = None
Job 267: Waiting time = 10.608436533249915 | Resolution time = 0.0006149020045995712 | Resolution type = None
Job 268: Waiting time = 10.598029589280486 | Resolution time = 0.0008115731179714203 | Resolution type = None
Job 269: Waiting time = 10.583133906126022 | Resolution time = 0.0006335079669952393 | Resolution type = None
Job 270: Waiting time = 10.5736304493621 | Resolution time = 0.0006181066855788231 | Resolution type = None
Job 271: Waiting time = 10.563986862078309 | Resolution time = 0.0006145955994725227 | Resolution type = None
Job 272: Waiting time = 10.548570188693702 | Resolution time = 0.0005679978057742119 | Resolution type = None
Job 273: Waiting time = 10.541926759295166 | Resolution time = 0.000604625791311264 | Resolution type = None
Job 274: Waiting time = 10.531336404383183 | Resolution time = 0.0005917120724916458 | Resolution type = None
Job 275: Waiting time = 10.517278424464166 | Resolution time = 0.0005664154887199402 | Resolution type = None
Job 276: Waiting time = 10.508786116726696 | Resolution time = 0.0006806738674640656 | Resolution type = None
