Job 238: Waiting time = 2.0079918019473553 | Resolution time = 0.0007037464529275894 | Resolution type = None
Job 239: Waiting time = 1.79168978985399 | Resolution time = 0.0006582718342542648 | Resolution type = None
Job 240: Waiting time = 1.583487150259316 | Resolution time = 0.0005510654300451279 | Resolution type = None
Job 241: Waiting time = 1.394585988484323 | Resolution time = 0.0005606375634670258 | Resolution type = None
Job 242: Waiting time = 1.1992796380072832 | Resolution time = 0.0005818270146846771 | Resolution type = None
Job 243: Waiting time = 1.0222549038007855 | Resolution time = 0.0005752220749855042 | Resolution type = None
Job 244: Waiting time = 0.8383967354893684 | Resolution time = 0.0005874279886484146 | Resolution type = None
Job 245: Waiting time = 0.6210515853017569 | Resolution time = 0.0005962355062365532 | Resolution type = None
Job 246: Waiting time = 0.4351204773411155 | Resolution time = 0.000637090764939785 | Resolution type = None
Job 247: Waiting time = 0.23163227550685406 | Resolution time = 0.0005346657708287239 | Resolution type = None
Job 248: Waiting time = 0.039591035805642605 | Resolution time = 0.0005740271881222725 | Resolution type = None
Normal period 5 ended!

----- VACATION Started -----
Start time: 49.77699230145663
Duration: 11.22461102064699
Jobs in the system: 55
------ VACATION ENDED ------

