Job 241: Waiting time = 16.283360119909048 | Resolution time = 0.0012614903971552849 | Resolution type = None
Job 242: Waiting time = 16.27491599600762 | Resolution time = 0.001290876418352127 | Resolution type = None
Job 243: Waiting time = 16.267798761837184 | Resolution time = 0.0011565722525119781 | Resolution type = None
Job 244: Waiting time = 16.25141179561615 | Resolution time = 0.001227167434990406 | Resolution type = None
Job 245: Waiting time = 16.233544489368796 | Resolution time = 0.0013281861320137978 | Resolution type = None
Job 246: Waiting time = 16.22286780271679 | Resolution time = 0.0012208819389343262 | Resolution type = None
Job 247: Waiting time = 16.213746305555105 | Resolution time = 0.0011906372383236885 | Resolution type = None
Job 248: Waiting time = 16.195410324260592 | Resolution time = 0.0012727594003081322 | Resolution type = None
Job 249: Waiting time = 16.178580278530717 | Resolution time = 0.0014050761237740517 | Resolution type = None
Job 250: Waiting time = 16.16552466712892 | Resolution time = 0.0012421729043126106 | Resolution type = None
Job 251: Waiting time = 16.15050912089646 | Resolution time = 0.0013424530625343323 | Resolution type = None
Job 252: Waiting time = 16.1366861294955 | Resolution time = 0.001217070035636425 | Resolution type = None
Job 253: Waiting time = 16.129869734868407 | Resolution time = 0.0014162585139274597 | Resolution type = None
Job 254: Waiting time = 16.119143199175596 | Resolution time = 0.0015358878299593925 | Resolution type = None
Job 255: Waiting time = 16.10956576000899 | Resolution time = 0.0011734925210475922 | Resolution type = None
Job 256: Waiting time = 16.104033997282386 | Resolution time = 0.0011558029800653458 | Resolution type = None
Job 257: Waiting time = 16.093032848089933 | Resolution time = 0.0013512112200260162 | Resolution type = None
Job 258: Waiting time = 16.077864337712526 | Resolution time = 0.0011325441300868988 | Resolution type = None
Job 259: Waiting time = 16.063680135644972 | Resolution time = 0.0011459123343229294 | Resolution type = None
Job 260: Waiting time = 16.04487619921565 | Resolution time = 0.0012662559747695923 | Resolution type = None
Job 261: Waiting time = 16.03089180123061 | Resolution time = 0.0012856069952249527 | Resolution type = None
Job 262: Waiting time = 16.014782494865358 | Resolution time = 0.0011795209720730782 | Resolution type = None
Job 263: Waiting time = 16.005610254593194 | Resolution time = 0.0012858910486102104 | Resolution type = None
Job 264: Waiting time = 15.99593679793179 | Resolution time = 0.0012917425483465195 | Resolution type = None
Job 265: Waiting time = 15.983579830266535 | Resolution time = 0.001359362155199051 | Resolution type = None
Job 266: Waiting time = 15.971786100417376 | Resolution time = 0.0012796605005860329 | Resolution type = None
Job 267: Waiting time = 15.95891885459423 | Resolution time = 0.0012300219386816025 | Resolution type = None
Job 268: Waiting time = 15.941222603432834 | Resolution time = 0.0011849291622638702 | Resolution type = None
Job 269: Waiting time = 15.927746123634279 | Resolution time = 0.0012390604242682457 | Resolution type = None
Job 270: Waiting time = 15.92088464088738 | Resolution time = 0.0013392623513936996 | Resolution type = None
Job 271: Waiting time = 15.911075981333852 | Resolution time = 0.0012403614819049835 | Resolution type = None
Job 272: Waiting time = 15.893364384770393 | Resolution time = 0.001270093023777008 | Resolution type = None
Job 273: Waiting time = 15.881992782466114 | Resolution time = 0.0013296781107783318 | Resolution type = None
Job 274: Waiting time = 15.86875100620091 | Resolution time = 0.001247994601726532 | Resolution type = None
