Job 133: Waiting time = 10.95562802720815 | Resolution time = 0.0005736015737056732 | Resolution type = None
Job 134: Waiting time = 10.764504158869386 | Resolution time = 0.0006102286279201508 | Resolution type = None
Job 135: Waiting time = 10.551363429054618 | Resolution time = 0.0006071450188755989 | Resolution type = None
Job 136: Waiting time = 10.320817729923874 | Resolution time = 0.0005684718489646912 | Resolution type = None
Job 137: Waiting time = 10.10475863981992 | Resolution time = 0.0005819997750222683 | Resolution type = None
Job 138: Waiting time = 9.877763617318124 | Resolution time = 0.0005650226958096027 | Resolution type = None
Job 139: Waiting time = 9.665541340131313 | Resolution time = 0.0006164745427668095 | Resolution type = None
Job 140: Waiting time = 9.488552066963166 | Resolution time = 0.000579469371587038 | Resolution type = None
Job 141: Waiting time = 9.272379262838513 | Resolution time = 0.0006186510436236858 | Resolution type = None
Job 142: Waiting time = 9.053309380076826 | Resolution time = 0.0006178193725645542 | Resolution type = None
Job 143: Waiting time = 8.833918201271445 | Resolution time = 0.0005701198242604733 | Resolution type = None
Job 144: Waiting time = 8.618155571632087 | Resolution time = 0.0006006509065628052 | Resolution type = None
Job 145: Waiting time = 8.408101243898273 | Resolution time = 0.0006066928617656231 | Resolution type = None
Job 146: Waiting time = 8.19438145402819 | Resolution time = 0.000579245388507843 | Resolution type = None
Job 147: Waiting time = 7.958694121800363 | Resolution time = 0.0006064190529286861 | Resolution type = None
Job 148: Waiting time = 7.750147173181176 | Resolution time = 0.0005892817862331867 | Resolution type = None
Job 149: Waiting time = 7.542024908121675 | Resolution time = 0.0005812537856400013 | Resolution type = None
Job 150: Waiting time = 7.3394492929801345 | Resolution time = 0.0005853772163391113 | Resolution type = None
Job 151: Waiting time = 7.112839727196842 | Resolution time = 0.0005784318782389164 | Resolution type = None
Job 152: Waiting time = 6.917295151855797 | Resolution time = 0.0006104586645960808 | Resolution type = None
Job 153: Waiting time = 6.731478011235595 | Resolution time = 0.0005712700076401234 | Resolution type = None
Job 154: Waiting time = 6.518399178981781 | Resolution time = 0.0006565419025719166 | Resolution type = None
Job 155: Waiting time = 6.30095886811614 | Resolution time = 0.000574982725083828 | Resolution type = None
Job 156: Waiting time = 6.098582768347114 | Resolution time = 0.0005744323134422302 | Resolution type = None
Job 157: Waiting time = 5.895298752002418 | Resolution time = 0.0005914545617997646 | Resolution type = None
Job 158: Waiting time = 5.695056036114693 | Resolution time = 0.0006200079806149006 | Resolution type = None
Job 159: Waiting time = 5.49501279136166 | Resolution time = 0.000572622288018465 | Resolution type = None
Job 160: Waiting time = 5.294428286142647 | Resolution time = 0.0006002336740493774 | Resolution type = None
Job 161: Waiting time = 5.09349559713155 | Resolution time = 0.0005830652080476284 | Resolution type = None
Job 162: Waiting time = 4.8711642902344465 | Resolution time = 0.0005844170227646828 | Resolution type = None
Job 163: Waiting time = 4.674176481086761 | Resolution time = 0.0005831113085150719 | Resolution type = None
Job 164: Waiting time = 4.473496480379254 | Resolution time = 0.0005823764950037003 | Resolution type = None
Job 165: Waiting time = 4.260793117340654 | Resolution time = 0.000609641894698143 | Resolution type = None
Job 166: Waiting time = 4.076761293690652 | Resolution time = 0.0005872449837625027 | Resolution type = None
Job 167: Waiting time = 3.854172650258988 | Resolution time = 0.0005786102265119553 | Resolution type = None
Job 168: Waiting time = 3.6449663559906185 | Resolution time = 0.0005640117451548576 | Resolution type = None
Job 169: Waiting time = 3.4494233708828688 | Resolution time = 0.0005874922499060631 | Resolution type = None
