Job 152: Waiting time = 22.26520430110395 | Resolution time = 0.0006246617995202541 | Resolution type = None
Job 153: Waiting time = 22.252749305218458 | Resolution time = 0.000562712550163269 | Resolution type = None
Job 154: Waiting time = 22.240858589764684 | Resolution time = 0.0009610909037292004 | Resolution type = None
Job 155: Waiting time = 22.231416563969105 | Resolution time = 0.0010524652898311615 | Resolution type = None
Job 156: Waiting time = 22.222376504912972 | Resolution time = 0.0009076064452528954 | Resolution type = None
Job 157: Waiting time = 22.1979619753547 | Resolution time = 0.0006383731961250305 | Resolution type = None
Job 158: Waiting time = 22.18347792699933 | Resolution time = 0.0005580168217420578 | Resolution type = None
Job 159: Waiting time = 22.167225698009133 | Resolution time = 0.0006193737499415874 | Resolution type = None
Job 160: Waiting time = 22.1492090029642 | Resolution time = 0.000590126495808363 | Resolution type = None
Job 161: Waiting time = 22.131324934307486 | Resolution time = 0.0006116223521530628 | Resolution type = None
Job 162: Waiting time = 22.119579705409706 | Resolution time = 0.0006110752001404762 | Resolution type = None
Job 163: Waiting time = 22.100499741733074 | Resolution time = 0.0006435946561396122 | Resolution type = None
Job 164: Waiting time = 22.091157977003604 | Resolution time = 0.0006425571627914906 | Resolution type = None
Job 165: Waiting time = 22.079419141169637 | Resolution time = 0.0006549558602273464 | Resolution type = None
Job 166: Waiting time = 22.062244340311736 | Resolution time = 0.0006285742856562138 | Resolution type = None
Job 167: Waiting time = 22.046918567735702 | Resolution time = 0.0005730944685637951 | Resolution type = None
Job 168: Waiting time = 22.02978256298229 | Resolution time = 0.0006693881005048752 | Resolution type = None
Job 169: Waiting time = 22.01910443091765 | Resolution time = 0.0006252792663872242 | Resolution type = None
Job 170: Waiting time = 21.998145673889667 | Resolution time = 0.0005622659809887409 | Resolution type = None
Job 171: Waiting time = 21.987874920014292 | Resolution time = 0.0005998280830681324 | Resolution type = None
Job 172: Waiting time = 21.974780016113073 | Resolution time = 0.0006713033653795719 | Resolution type = None
Job 173: Waiting time = 21.954698981251568 | Resolution time = 0.0006217756308615208 | Resolution type = None
Job 174: Waiting time = 21.938245713245124 | Resolution time = 0.0006722672842442989 | Resolution type = None
Job 175: Waiting time = 21.91816456615925 | Resolution time = 0.0006469683721661568 | Resolution type = None
Job 176: Waiting time = 21.89639713987708 | Resolution time = 0.0006726081483066082 | Resolution type = None
Job 177: Waiting time = 21.887819020077586 | Resolution time = 0.001020193099975586 | Resolution type = None
Job 178: Waiting time = 21.872743560932577 | Resolution time = 0.001068080309778452 | Resolution type = None
Job 179: Waiting time = 21.859446424990892 | Resolution time = 0.0006891903467476368 | Resolution type = None
Job 180: Waiting time = 21.84622063394636 | Resolution time = 0.0006106002256274223 | Resolution type = None
Job 181: Waiting time = 21.83292555110529 | Resolution time = 0.000576880294829607 | Resolution type = None
Job 182: Waiting time = 21.819072474259883 | Resolution time = 0.0005526202730834484 | Resolution type = None
Job 183: Waiting time = 21.80511880526319 | Resolution time = 0.0005335034802556038 | Resolution type = None
Job 184: Waiting time = 21.78986865421757 | Resolution time = 0.0005415980704128742 | Resolution type = None
Job 185: Waiting time = 21.77799433702603 | Resolution time = 0.0005412562750279903 | Resolution type = None
Job 186: Waiting time = 21.75749444682151 | Resolution time = 0.0006581437774002552 | Resolution type = None
Job 187: Waiting time = 21.74548660311848 | Resolution time = 0.00077102892100811 | Resolution type = None
Job 188: Waiting time = 21.719210971146822 | Resolution time = 0.000622844323515892 | Resolution type = None
Job 189: Waiting time = 21.703681766055524 | Resolution time = 0.0006045438349246979 | Resolution type = None
Job 190: Waiting time = 21.691625900100917 | Resolution time = 0.000540080014616251 | Resolution type = None
Job 191: Waiting time = 21.67114455997944 | Resolution time = 0.0005654888227581978 | Resolution type = None
Job 192: Waiting time = 21.66093737492338 | Resolution time = 0.0006125401705503464 | Resolution type = None
Normal period 3 ended!

----- VACATION Started -----
Start time: 24.69821105990559
Duration: 11.73031601915136
Jobs in the system: 2004
------ VACATION ENDED ------

--- Normal Period 4 starts... ---
Job 193: Waiting time = 33.36944347526878 | Resolution time = 0.0009102527983486652 | Resolution type = None
Job 194: Waiting time = 33.355934244114906 | Resolution time = 0.000723804347217083 | Resolution type = None
Job 195: Waiting time = 33.33928884891793 | Resolution time = 0.0006596790626645088 | Resolution type = None
Job 196: Waiting time = 33.31884811306372 | Resolution time = 0.0005959137342870235 | Resolution type = None
Job 197: Waiting time = 33.30828726431355 | Resolution time = 0.0005925027653574944 | Resolution type = None
Job 198: Waiting time = 33.28941918630153 | Resolution time = 0.0006038602441549301 | Resolution type = None
Job 199: Waiting time = 33.27726850565523 | Resolution time = 0.0006052018143236637 | Resolution type = None
Job 200: Waiting time = 33.25930052064359 | Resolution time = 0.00067558279260993 | Resolution type = None
Job 201: Waiting time = 33.24360016081482 | Resolution time = 0.001187133602797985 | Resolution type = None
Job 202: Waiting time = 33.23412418179214 | Resolution time = 0.0006386637687683105 | Resolution type = None
Job 203: Waiting time = 33.221574692986906 | Resolution time = 0.0006052651442587376 | Resolution type = None
Job 204: Waiting time = 33.21282380912453 | Resolution time = 0.0005914550274610519 | Resolution type = None
Job 205: Waiting time = 33.1939001949504 | Resolution time = 0.0006052320823073387 | Resolution type = None
Job 206: Waiting time = 33.17271980782971 | Resolution time = 0.000680853147059679 | Resolution type = None
Job 207: Waiting time = 33.15637228731066 | Resolution time = 0.0006871181540191174 | Resolution type = None
Job 208: Waiting time = 33.143830159679055 | Resolution time = 0.0005873157642781734 | Resolution type = None
Job 209: Waiting time = 33.1297649461776 | Resolution time = 0.0006850953213870525 | Resolution type = None
Job 210: Waiting time = 33.11451667826623 | Resolution time = 0.0006565540097653866 | Resolution type = None
Job 211: Waiting time = 33.101461878977716 | Resolution time = 0.000675479881465435 | Resolution type = None
Job 212: Waiting time = 33.0746855433099 | Resolution time = 0.0006397152319550514 | Resolution type = None
Job 213: Waiting time = 33.04837165912613 | Resolution time = 0.0006731050089001656 | Resolution type = None
Job 214: Waiting time = 33.03365193819627 | Resolution time = 0.0005983030423521996 | Resolution type = None
Job 215: Waiting time = 33.01952698081732 | Resolution time = 0.0006056521087884903 | Resolution type = None
Job 216: Waiting time = 33.004785439930856 | Resolution time = 0.0006109355017542839 | Resolution type = None
Job 217: Waiting time = 32.992292468901724 | Resolution time = 0.0007613697089254856 | Resolution type = None
Job 218: Waiting time = 32.97762347990647 | Resolution time = 0.0006726495921611786 | Resolution type = None
Job 219: Waiting time = 32.970390723086894 | Resolution time = 0.0006635803729295731 | Resolution type = None
Job 220: Waiting time = 32.95353665202856 | Resolution time = 3.798864781856537e-06 | Resolution type = Policy
Job 221: Waiting time = 32.929491796996444 | Resolution time = 0.0005686823278665543 | Resolution type = None
Job 222: Waiting time = 32.908201097976416 | Resolution time = 0.0006067762151360512 | Resolution type = None
Job 223: Waiting time = 32.89284329209477 | Resolution time = 0.0005988352932035923 | Resolution type = None
Job 224: Waiting time = 32.8777518668212 | Resolution time = 0.0006357887759804726 | Resolution type = None
Job 225: Waiting time = 32.86747843539342 | Resolution time = 0.0007318011485040188 | Resolution type = None
Job 226: Waiting time = 32.852891442831606 | Resolution time = 0.0006683091633021832 | Resolution type = None
Job 227: Waiting time = 32.840917606372386 | Resolution time = 0.0005744351074099541 | Resolution type = None
Job 228: Waiting time = 32.82300555333495 | Resolution time = 0.0006232992745935917 | Resolution type = None
Job 229: Waiting time = 32.80939186317846 | Resolution time = 0.0011217454448342323 | Resolution type = None
Job 230: Waiting time = 32.79816228803247 | Resolution time = 0.0010864073410630226 | Resolution type = None
Job 231: Waiting time = 32.78037218702957 | Resolution time = 0.0007745660841464996 | Resolution type = None
Job 232: Waiting time = 32.76820722594857 | Resolution time = 0.0007948628626763821 | Resolution type = None
Job 233: Waiting time = 32.75400865683332 | Resolution time = 0.0006525041535496712 | Resolution type = None
Job 234: Waiting time = 32.72676381794736 | Resolution time = 0.0006120000034570694 | Resolution type = None
Job 235: Waiting time = 32.70383782405406 | Resolution time = 0.0006317440420389175 | Resolution type = None
Job 236: Waiting time = 32.678564285859466 | Resolution time = 0.000677822157740593 | Resolution type = None
Job 237: Waiting time = 32.66164798242971 | Resolution time = 0.0006620739586651325 | Resolution type = None
Job 238: Waiting time = 32.64216475607827 | Resolution time = 0.0006243581883609295 | Resolution type = None
Job 239: Waiting time = 32.62780221598223 | Resolution time = 0.0006036041304469109 | Resolution type = None
Job 240: Waiting time = 32.60942914010957 | Resolution time = 0.0005855471827089787 | Resolution type = None
Job 241: Waiting time = 32.59285508887842 | Resolution time = 0.0006077052094042301 | Resolution type = None
Job 242: Waiting time = 32.5818030689843 | Resolution time = 0.000635725911706686 | Resolution type = None
