Job 149: Waiting time = 0.001511027105152607 | Resolution time = 0.0013893702998757362 | Resolution type = None
Job 150: Waiting time = 0.0013571199961006641 | Resolution time = 0.0013404362834990025 | Resolution type = None
Job 151: Waiting time = 0.001005689613521099 | Resolution time = 0.0009885989129543304 | Resolution type = Policy
Job 152: Waiting time = 0.0010103941895067692 | Resolution time = 0.0009940131567418575 | Resolution type = Policy
Job 153: Waiting time = 0.0006275181658565998 | Resolution time = 0.0006073317490518093 | Resolution type = Policy
Job 154: Waiting time = 0.0004187608137726784 | Resolution time = 0.0004054647870361805 | Resolution type = Policy
Job 155: Waiting time = 0.0003551947884261608 | Resolution time = 0.00033988989889621735 | Resolution type = Policy
Job 156: Waiting time = 5.452893674373627e-05 | Resolution time = 4.098797217011452e-05 | Resolution type = Policy
Job 157: Waiting time = 0.0008162367157638073 | Resolution time = 0.0007963492535054684 | Resolution type = Policy
Job 158: Waiting time = 0.00010870816186070442 | Resolution time = 9.465310722589493e-05 | Resolution type = Policy
Job 159: Waiting time = 0.001979256048798561 | Resolution time = 0.0019638636149466038 | Resolution type = None
Job 160: Waiting time = 0.0011630360968410969 | Resolution time = 0.0011485121212899685 | Resolution type = Policy
Job 161: Waiting time = 0.001957415137439966 | Resolution time = 0.0019410825334489346 | Resolution type = None
Job 162: Waiting time = 0.0014933766797184944 | Resolution time = 0.0014682244509458542 | Resolution type = None
Job 163: Waiting time = 0.0006711268797516823 | Resolution time = 0.000654337927699089 | Resolution type = Policy
Job 164: Waiting time = 0.0016168742440640926 | Resolution time = 0.0016007060185074806 | Resolution type = None
Job 165: Waiting time = 0.000819910317659378 | Resolution time = 0.0006858818233013153 | Resolution type = Policy
Job 166: Waiting time = 0.000569057185202837 | Resolution time = 0.0005540852434933186 | Resolution type = Policy
Job 167: Waiting time = 0.0006688139401376247 | Resolution time = 0.0006527886725962162 | Resolution type = Policy
Job 168: Waiting time = 0.001633024774491787 | Resolution time = 0.0016178037039935589 | Resolution type = None
