Job 136: Waiting time = 9.980227453168482 | Resolution time = 0.0005717999301850796 | Resolution type = None
Job 137: Waiting time = 9.768253701739013 | Resolution time = 0.0005752639845013618 | Resolution type = None
Job 138: Waiting time = 9.562645070254803 | Resolution time = 0.0006078383885324001 | Resolution type = None
Job 139: Waiting time = 9.364623902831227 | Resolution time = 0.0006188629195094109 | Resolution type = None
Job 140: Waiting time = 9.187576179858297 | Resolution time = 0.0005505615845322609 | Resolution type = None
Job 141: Waiting time = 8.984242558013648 | Resolution time = 0.0005829939618706703 | Resolution type = None
Job 142: Waiting time = 8.798055093269795 | Resolution time = 0.0005445368587970734 | Resolution type = None
Job 143: Waiting time = 8.602353767026216 | Resolution time = 0.0006225360557436943 | Resolution type = None
Job 144: Waiting time = 8.39382724603638 | Resolution time = 0.0008264263160526752 | Resolution type = None
Job 145: Waiting time = 8.18545922730118 | Resolution time = 0.0006409147754311562 | Resolution type = None
Job 146: Waiting time = 7.97377368202433 | Resolution time = 0.0005550142377614975 | Resolution type = None
Job 147: Waiting time = 7.790587471798062 | Resolution time = 0.0006166491657495499 | Resolution type = None
Job 148: Waiting time = 7.582798905204982 | Resolution time = 0.0005517406389117241 | Resolution type = None
Job 149: Waiting time = 7.385571116115898 | Resolution time = 0.0005556098185479641 | Resolution type = None
Job 150: Waiting time = 7.194595023058355 | Resolution time = 0.0006063063628971577 | Resolution type = None
Job 151: Waiting time = 6.994468661956489 | Resolution time = 0.0006291340105235577 | Resolution type = None
Job 152: Waiting time = 6.808838507626206 | Resolution time = 0.0006139911711215973 | Resolution type = None
Job 153: Waiting time = 6.591246886644512 | Resolution time = 0.0005897069349884987 | Resolution type = None
Job 154: Waiting time = 6.411245096009225 | Resolution time = 0.0005532009527087212 | Resolution type = None
Job 155: Waiting time = 6.211709451396018 | Resolution time = 0.0005853110924363136 | Resolution type = None
Job 156: Waiting time = 5.986216560937464 | Resolution time = 0.0005950853228569031 | Resolution type = None
Job 157: Waiting time = 5.785203993786126 | Resolution time = 0.0006528701633214951 | Resolution type = None
Job 158: Waiting time = 5.573828693944961 | Resolution time = 0.0006249081343412399 | Resolution type = None
Job 159: Waiting time = 5.3472540699876845 | Resolution time = 0.0006180251948535442 | Resolution type = None
Job 160: Waiting time = 5.134706562850624 | Resolution time = 0.0005331397987902164 | Resolution type = None
Job 161: Waiting time = 4.90698733413592 | Resolution time = 0.0005925120785832405 | Resolution type = None
Job 162: Waiting time = 4.681655629072338 | Resolution time = 0.0002985936589539051 | Resolution type = Aux List
Job 163: Waiting time = 4.450737135950476 | Resolution time = 0.0006313403137028217 | Resolution type = None
Job 164: Waiting time = 4.261533525772393 | Resolution time = 0.0006174198351800442 | Resolution type = None
Job 165: Waiting time = 4.059391398914158 | Resolution time = 0.0006055040284991264 | Resolution type = None
Job 166: Waiting time = 3.869421564042568 | Resolution time = 0.0006578508764505386 | Resolution type = None
Job 167: Waiting time = 3.6683415211737156 | Resolution time = 0.0006115920841693878 | Resolution type = None
Job 168: Waiting time = 3.472781001124531 | Resolution time = 0.000607931986451149 | Resolution type = None
Job 169: Waiting time = 3.2740517938509583 | Resolution time = 0.0005482276901602745 | Resolution type = None
