----- VACATION Started -----
Start time: 26.341948511078954
Duration: 11.326142788864672
Jobs in the system: 55
------ VACATION ENDED ------

--- Normal Period 3 starts... ---
Job 129: Waiting time = 11.126376194879413 | Resolution time = 0.0008360221982002258 | Resolution type = None
Job 130: Waiting time = 10.931920398958027 | Resolution time = 0.0006722579710185528 | Resolution type = None
Job 131: Waiting time = 10.702649089042097 | Resolution time = 0.0006959340535104275 | Resolution type = None
Job 132: Waiting time = 10.50380237121135 | Resolution time = 0.0006618979386985302 | Resolution type = None
Job 133: Waiting time = 10.271339923143387 | Resolution time = 0.0006515458226203918 | Resolution type = None
Job 134: Waiting time = 10.082339021842927 | Resolution time = 0.0006290171295404434 | Resolution type = None
Job 135: Waiting time = 9.919152462854981 | Resolution time = 0.0006973310373723507 | Resolution type = None
Job 136: Waiting time = 9.724046122282743 | Resolution time = 0.000625337939709425 | Resolution type = None
Job 137: Waiting time = 9.521440760232508 | Resolution time = 0.0006635617464780807 | Resolution type = None
Job 138: Waiting time = 9.34122810093686 | Resolution time = 0.0006616455502808094 | Resolution type = None
Job 139: Waiting time = 9.135142049752176 | Resolution time = 0.0006325477734208107 | Resolution type = None
Job 140: Waiting time = 8.9432059279643 | Resolution time = 0.000617670826613903 | Resolution type = None
Job 141: Waiting time = 8.740070460829884 | Resolution time = 0.0006576995365321636 | Resolution type = None
Job 142: Waiting time = 8.546751787420362 | Resolution time = 0.0006497823633253574 | Resolution type = None
Job 143: Waiting time = 8.332008810248226 | Resolution time = 0.0005769338458776474 | Resolution type = None
Job 144: Waiting time = 8.124270902015269 | Resolution time = 0.0006386367604136467 | Resolution type = None
Job 145: Waiting time = 7.91266618296504 | Resolution time = 0.0006529125384986401 | Resolution type = None
Job 146: Waiting time = 7.728449018672109 | Resolution time = 0.0007674410007894039 | Resolution type = None
Job 147: Waiting time = 7.547666411846876 | Resolution time = 0.0007029767148196697 | Resolution type = None
Job 148: Waiting time = 7.340600118972361 | Resolution time = 0.0006148549728095531 | Resolution type = None
Job 149: Waiting time = 7.11822280427441 | Resolution time = 0.0006264648400247097 | Resolution type = None
Job 150: Waiting time = 6.910023503936827 | Resolution time = 0.0006084218621253967 | Resolution type = None
Job 151: Waiting time = 6.713011188898236 | Resolution time = 0.0006604478694498539 | Resolution type = None
Job 152: Waiting time = 6.492214671336114 | Resolution time = 0.0006454992108047009 | Resolution type = None
Job 153: Waiting time = 6.273086426779628 | Resolution time = 0.0006786896847188473 | Resolution type = None
Job 154: Waiting time = 6.047817294951528 | Resolution time = 0.0006632576696574688 | Resolution type = None
Job 155: Waiting time = 5.853925179224461 | Resolution time = 0.0006403224542737007 | Resolution type = None
Job 156: Waiting time = 5.645155251957476 | Resolution time = 0.0006604571826756 | Resolution type = None
Job 157: Waiting time = 5.458990761078894 | Resolution time = 0.0006298483349382877 | Resolution type = None
Job 158: Waiting time = 5.240368383005261 | Resolution time = 0.000610490795224905 | Resolution type = None
Job 159: Waiting time = 5.039086981210858 | Resolution time = 0.0006476524285972118 | Resolution type = None
Job 160: Waiting time = 4.824494156055152 | Resolution time = 0.0006328537128865719 | Resolution type = None
Job 161: Waiting time = 4.603315751068294 | Resolution time = 0.0006353636272251606 | Resolution type = None
Job 162: Waiting time = 4.387653238140047 | Resolution time = 0.0006415802054107189 | Resolution type = None
Job 163: Waiting time = 4.176801634021103 | Resolution time = 0.0006225798279047012 | Resolution type = None
Job 164: Waiting time = 3.973582213744521 | Resolution time = 0.0006466275081038475 | Resolution type = None
Job 165: Waiting time = 3.7466462180018425 | Resolution time = 0.0006286017596721649 | Resolution type = None
Job 166: Waiting time = 3.5447800252586603 | Resolution time = 0.000633487943559885 | Resolution type = None
Job 167: Waiting time = 3.3480766848661005 | Resolution time = 0.0005903150886297226 | Resolution type = None
Job 168: Waiting time = 3.1256563272327185 | Resolution time = 0.0006322124972939491 | Resolution type = None
Job 169: Waiting time = 2.940764141269028 | Resolution time = 0.0006559798493981361 | Resolution type = None
Job 170: Waiting time = 2.7365100267343223 | Resolution time = 0.0006441338919103146 | Resolution type = None
