Job 211: Waiting time = 7.047856679186225 | Resolution time = 0.0006359508261084557 | Resolution type = None
Job 212: Waiting time = 6.838248733896762 | Resolution time = 0.0006050216034054756 | Resolution type = None
Job 213: Waiting time = 6.634954733774066 | Resolution time = 0.0006291591562330723 | Resolution type = None
Job 214: Waiting time = 6.439678852912039 | Resolution time = 0.0006149029359221458 | Resolution type = None
Job 215: Waiting time = 6.219067973084748 | Resolution time = 0.0006468361243605614 | Resolution type = None
Job 216: Waiting time = 6.012550256215036 | Resolution time = 0.0006289267912507057 | Resolution type = None
Job 217: Waiting time = 5.810999670065939 | Resolution time = 0.0006177281029522419 | Resolution type = None
Job 218: Waiting time = 5.60242526512593 | Resolution time = 0.0006306762807071209 | Resolution type = None
Job 219: Waiting time = 5.379957411903888 | Resolution time = 0.0006194589659571648 | Resolution type = None
Job 220: Waiting time = 5.199418909847736 | Resolution time = 0.0006394158117473125 | Resolution type = None
Job 221: Waiting time = 4.9849927187897265 | Resolution time = 0.0006250748410820961 | Resolution type = None
Job 222: Waiting time = 4.770108598284423 | Resolution time = 0.0006388598121702671 | Resolution type = None
Job 223: Waiting time = 4.565122519154102 | Resolution time = 0.0006181476637721062 | Resolution type = None
Job 224: Waiting time = 4.368567562196404 | Resolution time = 0.0006261863745748997 | Resolution type = None
Job 225: Waiting time = 4.182178332004696 | Resolution time = 0.0006027398630976677 | Resolution type = None
Job 226: Waiting time = 3.9776362790726125 | Resolution time = 0.0006370525807142258 | Resolution type = None
Job 227: Waiting time = 3.789498073980212 | Resolution time = 0.000633354764431715 | Resolution type = None
Job 228: Waiting time = 3.582521714735776 | Resolution time = 0.0006315270438790321 | Resolution type = None
Job 229: Waiting time = 3.3730773688293993 | Resolution time = 0.0006318558007478714 | Resolution type = None
Job 230: Waiting time = 3.1751134269870818 | Resolution time = 0.0005874689668416977 | Resolution type = None
Job 231: Waiting time = 2.982171478215605 | Resolution time = 0.0005685421638190746 | Resolution type = None
Job 232: Waiting time = 2.779119949322194 | Resolution time = 0.0005998709239065647 | Resolution type = None
Job 233: Waiting time = 2.557676610071212 | Resolution time = 0.0006736596114933491 | Resolution type = None
Job 234: Waiting time = 2.3492999700829387 | Resolution time = 0.0006425869651138783 | Resolution type = None
Job 235: Waiting time = 2.1517499769106507 | Resolution time = 0.0006064083427190781 | Resolution type = None
Job 236: Waiting time = 1.9548170221969485 | Resolution time = 0.0006362739950418472 | Resolution type = None
Job 237: Waiting time = 1.7577511379495263 | Resolution time = 0.0006113252602517605 | Resolution type = None
Job 238: Waiting time = 1.5503814751282334 | Resolution time = 0.0006414181552827358 | Resolution type = None
Job 239: Waiting time = 1.3648456698283553 | Resolution time = 0.0006278296932578087 | Resolution type = None
Job 240: Waiting time = 1.165765440557152 | Resolution time = 0.000609180424362421 | Resolution type = None
Job 241: Waiting time = 0.9703274890780449 | Resolution time = 0.0006418200209736824 | Resolution type = None
Job 242: Waiting time = 0.7637710920535028 | Resolution time = 0.0005901837721467018 | Resolution type = None
Job 243: Waiting time = 0.5653487090021372 | Resolution time = 0.0006044055335223675 | Resolution type = None
Job 244: Waiting time = 0.35698558995500207 | Resolution time = 0.0005643093027174473 | Resolution type = None
Job 245: Waiting time = 0.1624654377810657 | Resolution time = 0.00059098144993186 | Resolution type = None
Job 246: Waiting time = 0.000697694718837738 | Resolution time = 0.0006909291259944439 | Resolution type = None
Job 247: Waiting time = 0.0007715360261499882 | Resolution time = 0.0007649553008377552 | Resolution type = None
Job 248: Waiting time = 0.0007209680043160915 | Resolution time = 0.0007133693434298038 | Resolution type = None
Job 249: Waiting time = 0.0007113567553460598 | Resolution time = 0.0007048770785331726 | Resolution type = None
Job 250: Waiting time = 0.0007439292967319489 | Resolution time = 0.0007375483401119709 | Resolution type = None
Job 251: Waiting time = 0.0008232747204601765 | Resolution time = 0.000810601282864809 | Resolution type = None
Job 252: Waiting time = 0.0008299509063363075 | Resolution time = 0.0008142869919538498 | Resolution type = None
Job 253: Waiting time = 0.0008101770654320717 | Resolution time = 0.0007960107177495956 | Resolution type = None
Job 254: Waiting time = 0.0007551116868853569 | Resolution time = 0.0007413304410874844 | Resolution type = None
Job 255: Waiting time = 0.0008527627214789391 | Resolution time = 0.0008360818028450012 | Resolution type = None
Job 256: Waiting time = 0.0008156741969287395 | Resolution time = 0.0008003287948668003 | Resolution type = None
Normal period 4 ended!

----- VACATION Started -----
Start time: 52.0547112650238
Duration: 10.879352811258286
Jobs in the system: 52
------ VACATION ENDED ------

--- Normal Period 5 starts... ---
Job 257: Waiting time = 10.685390132945031 | Resolution time = 8.370866999030113e-05 | Resolution type = Policy
Job 258: Waiting time = 10.501548842992634 | Resolution time = 0.0006848881021142006 | Resolution type = None
Job 259: Waiting time = 10.302887744270265 | Resolution time = 0.0005888780578970909 | Resolution type = None
Job 260: Waiting time = 10.091624923050404 | Resolution time = 4.585832357406616e-06 | Resolution type = Policy
Job 261: Waiting time = 9.898924797773361 | Resolution time = 7.051974534988403e-06 | Resolution type = Policy
Job 262: Waiting time = 9.708717152941972 | Resolution time = 0.0006612017750740051 | Resolution type = None
Job 263: Waiting time = 9.496247423347086 | Resolution time = 0.0005977149121463299 | Resolution type = None
Job 264: Waiting time = 9.301180104259402 | Resolution time = 0.0005995333194732666 | Resolution type = None
Job 265: Waiting time = 9.079773954115808 | Resolution time = 0.0006675370968878269 | Resolution type = None
Job 266: Waiting time = 8.856101409997791 | Resolution time = 0.0006278092041611671 | Resolution type = None
Job 267: Waiting time = 8.64145267708227 | Resolution time = 0.0005779308266937733 | Resolution type = None
Job 268: Waiting time = 8.443392136134207 | Resolution time = 0.0006383378058671951 | Resolution type = None
Job 269: Waiting time = 8.249936099164188 | Resolution time = 0.0005967370234429836 | Resolution type = None
Job 270: Waiting time = 8.059843773953617 | Resolution time = 0.0005890224128961563 | Resolution type = None
Job 271: Waiting time = 7.85134256305173 | Resolution time = 0.0006072637625038624 | Resolution type = None
Job 272: Waiting time = 7.63703303411603 | Resolution time = 0.0005906377919018269 | Resolution type = None
Job 273: Waiting time = 7.428971107117832 | Resolution time = 0.000654950737953186 | Resolution type = None
Job 274: Waiting time = 7.2053841250017285 | Resolution time = 0.0006166989915072918 | Resolution type = None
Job 275: Waiting time = 6.956954882014543 | Resolution time = 3.7401914596557617e-06 | Resolution type = Policy
