Job 179: Waiting time = 23.23291289806366 | Resolution time = 0.0007134196348488331 | Resolution type = None
Job 180: Waiting time = 23.21929643303156 | Resolution time = 0.0007924670353531837 | Resolution type = None
Job 181: Waiting time = 23.195826715789735 | Resolution time = 0.0006837807595729828 | Resolution type = None
Job 182: Waiting time = 23.17133635887876 | Resolution time = 0.0007639667019248009 | Resolution type = None
Job 183: Waiting time = 23.15719388704747 | Resolution time = 0.0007025497034192085 | Resolution type = None
Job 184: Waiting time = 23.1479305527173 | Resolution time = 0.0006657307967543602 | Resolution type = None
Job 185: Waiting time = 23.141219093929976 | Resolution time = 0.0007089436985552311 | Resolution type = None
Job 186: Waiting time = 23.115167018957436 | Resolution time = 0.0007275580428540707 | Resolution type = None
Job 187: Waiting time = 23.095232624094933 | Resolution time = 0.0006743227131664753 | Resolution type = None
Job 188: Waiting time = 23.07634700415656 | Resolution time = 0.0007126368582248688 | Resolution type = None
Job 189: Waiting time = 23.06072027096525 | Resolution time = 0.000693801324814558 | Resolution type = None
Job 190: Waiting time = 23.046160200145096 | Resolution time = 0.0006830445490777493 | Resolution type = None
Job 191: Waiting time = 23.03278465103358 | Resolution time = 0.0006971675902605057 | Resolution type = None
Job 192: Waiting time = 23.010795609094203 | Resolution time = 0.0006680227816104889 | Resolution type = None
Normal period 3 ended!

----- VACATION Started -----
Start time: 26.15950371325016
Duration: 12.344070073682815
Jobs in the system: 2064
------ VACATION ENDED ------

--- Normal Period 4 starts... ---
Job 193: Waiting time = 35.339798104949296 | Resolution time = 0.0015363027341663837 | Resolution type = None
Job 194: Waiting time = 35.32199459010735 | Resolution time = 0.000754235778003931 | Resolution type = None
Job 195: Waiting time = 35.30367445293814 | Resolution time = 0.000775650143623352 | Resolution type = None
Job 196: Waiting time = 35.281679143663496 | Resolution time = 0.0007108417339622974 | Resolution type = None
Job 197: Waiting time = 35.26614458300173 | Resolution time = 0.0007244795560836792 | Resolution type = None
Job 198: Waiting time = 35.24609794607386 | Resolution time = 0.0007394501008093357 | Resolution type = None
Job 199: Waiting time = 35.23547623725608 | Resolution time = 0.0007369192317128181 | Resolution type = None
Job 200: Waiting time = 35.21740676602349 | Resolution time = 0.0007790299132466316 | Resolution type = None
Job 201: Waiting time = 35.20239696837962 | Resolution time = 0.000753812026232481 | Resolution type = None
Job 202: Waiting time = 35.182259608991444 | Resolution time = 4.932284355163574e-06 | Resolution type = Policy
Job 203: Waiting time = 35.176336016040295 | Resolution time = 0.000717387069016695 | Resolution type = None
Job 204: Waiting time = 35.153464701958 | Resolution time = 0.0012588542886078358 | Resolution type = None
Job 205: Waiting time = 35.131561688147485 | Resolution time = 0.0009903619065880775 | Resolution type = None
Job 206: Waiting time = 35.120835387613624 | Resolution time = 0.0007395348511636257 | Resolution type = None
Job 207: Waiting time = 35.110897140111774 | Resolution time = 0.0007083346135914326 | Resolution type = None
Job 208: Waiting time = 35.09899711282924 | Resolution time = 0.0007055364549160004 | Resolution type = None
Job 209: Waiting time = 35.08699148520827 | Resolution time = 0.0007356987334787846 | Resolution type = None
Job 210: Waiting time = 35.07677725329995 | Resolution time = 0.0006857449188828468 | Resolution type = None
Job 211: Waiting time = 35.05868216743693 | Resolution time = 0.0007415162399411201 | Resolution type = None
Job 212: Waiting time = 35.04135194700211 | Resolution time = 0.000791194848716259 | Resolution type = None
Job 213: Waiting time = 35.02571062697098 | Resolution time = 0.0007183807902038097 | Resolution type = None
Job 214: Waiting time = 35.01087827607989 | Resolution time = 0.0006919493898749352 | Resolution type = None
Job 215: Waiting time = 34.99052382307127 | Resolution time = 0.0007512615993618965 | Resolution type = None
Job 216: Waiting time = 34.974867306649685 | Resolution time = 0.0011438420042395592 | Resolution type = None
Job 217: Waiting time = 34.96234001312405 | Resolution time = 0.0009042317979037762 | Resolution type = None
Job 218: Waiting time = 34.941482425667346 | Resolution time = 0.0007334602996706963 | Resolution type = None
Job 219: Waiting time = 34.92592927068472 | Resolution time = 0.0007514273747801781 | Resolution type = None
Job 220: Waiting time = 34.90292848600075 | Resolution time = 0.0007205968722701073 | Resolution type = None
Job 221: Waiting time = 34.878593432717025 | Resolution time = 0.0006665312685072422 | Resolution type = None
Job 222: Waiting time = 34.86654118821025 | Resolution time = 0.0006786733865737915 | Resolution type = None
Job 223: Waiting time = 34.850960893090814 | Resolution time = 0.0006919568404555321 | Resolution type = None
Job 224: Waiting time = 34.82325244601816 | Resolution time = 0.0007110121659934521 | Resolution type = None
Job 225: Waiting time = 34.79947959724814 | Resolution time = 0.0006800997070968151 | Resolution type = None
Job 226: Waiting time = 34.789188717957586 | Resolution time = 0.0006858529523015022 | Resolution type = None
Job 227: Waiting time = 34.771523884963244 | Resolution time = 0.0006748707965016365 | Resolution type = None
Job 228: Waiting time = 34.74467753106728 | Resolution time = 0.000723901204764843 | Resolution type = None
Job 229: Waiting time = 34.72396004199982 | Resolution time = 0.000706688966602087 | Resolution type = None
Job 230: Waiting time = 34.70823365915567 | Resolution time = 0.0006832210347056389 | Resolution type = None
Job 231: Waiting time = 34.687897397670895 | Resolution time = 0.0007055867463350296 | Resolution type = None
Job 232: Waiting time = 34.67128401622176 | Resolution time = 0.000687797088176012 | Resolution type = None
Job 233: Waiting time = 34.646503006108105 | Resolution time = 0.0006914138793945312 | Resolution type = None
Job 234: Waiting time = 34.63065183814615 | Resolution time = 0.0007091150619089603 | Resolution type = None
Job 235: Waiting time = 34.61341746523976 | Resolution time = 0.0006996402516961098 | Resolution type = None
Job 236: Waiting time = 34.59089315496385 | Resolution time = 0.0006949980743229389 | Resolution type = None
Job 237: Waiting time = 34.576124283950776 | Resolution time = 0.0007004900835454464 | Resolution type = None
Job 238: Waiting time = 34.56292990082875 | Resolution time = 0.0007343795150518417 | Resolution type = None
Job 239: Waiting time = 34.54983135405928 | Resolution time = 0.0006930390372872353 | Resolution type = None
Job 240: Waiting time = 34.54202445084229 | Resolution time = 0.0007070130668580532 | Resolution type = None
Job 241: Waiting time = 34.52821018593386 | Resolution time = 0.0013736188411712646 | Resolution type = None
Job 242: Waiting time = 34.51208448829129 | Resolution time = 0.0008009127341210842 | Resolution type = None
Job 243: Waiting time = 34.4945741482079 | Resolution time = 0.0006680875085294247 | Resolution type = None
Job 244: Waiting time = 34.477937498129904 | Resolution time = 0.0008108280599117279 | Resolution type = None
Job 245: Waiting time = 34.45597293181345 | Resolution time = 0.0008792830631136894 | Resolution type = None
Job 246: Waiting time = 34.44281732616946 | Resolution time = 0.0007779654115438461 | Resolution type = None
Job 247: Waiting time = 34.42219062894583 | Resolution time = 0.0007048794068396091 | Resolution type = None
Job 248: Waiting time = 34.40800994914025 | Resolution time = 0.0007085604593157768 | Resolution type = None
Job 249: Waiting time = 34.394268123898655 | Resolution time = 0.0007379218004643917 | Resolution type = None
Job 250: Waiting time = 34.379564474802464 | Resolution time = 0.000745594035834074 | Resolution type = None
Job 251: Waiting time = 34.36750035593286 | Resolution time = 0.0007210168987512589 | Resolution type = None
Job 252: Waiting time = 34.35771880391985 | Resolution time = 0.0006885523907840252 | Resolution type = None
Job 253: Waiting time = 34.33664473704994 | Resolution time = 0.000712207518517971 | Resolution type = None
Job 254: Waiting time = 34.32213103538379 | Resolution time = 0.0007150834426283836 | Resolution type = None
Job 255: Waiting time = 34.303377627860755 | Resolution time = 0.0007140222005546093 | Resolution type = None
Job 256: Waiting time = 34.28710754401982 | Resolution time = 0.0007280963473021984 | Resolution type = None
Normal period 4 ended!

----- VACATION Started -----
Start time: 38.55276821507141
Duration: 12.325970042031258
Jobs in the system: 2725
------ VACATION ENDED ------

--- Normal Period 5 starts... ---
Job 257: Waiting time = 46.59669116418809 | Resolution time = 0.0009780232794582844 | Resolution type = None
Job 258: Waiting time = 46.578065066132694 | Resolution time = 0.0006935070268809795 | Resolution type = None
Job 259: Waiting time = 46.56139401393011 | Resolution time = 0.0007405090145766735 | Resolution type = None
Job 260: Waiting time = 46.5440943678841 | Resolution time = 0.0006565498188138008 | Resolution type = None
Job 261: Waiting time = 46.52856451785192 | Resolution time = 0.0007319650612771511 | Resolution type = None
Job 262: Waiting time = 46.50911990972236 | Resolution time = 0.0007221587002277374 | Resolution type = None
Job 263: Waiting time = 46.495910943020135 | Resolution time = 0.0006649517454206944 | Resolution type = None
Job 264: Waiting time = 46.47999145137146 | Resolution time = 0.0006872969679534435 | Resolution type = None
Job 265: Waiting time = 46.458709144964814 | Resolution time = 0.0008573024533689022 | Resolution type = None
Job 266: Waiting time = 46.448154169134796 | Resolution time = 0.0013291030190885067 | Resolution type = None
Job 267: Waiting time = 46.42843319103122 | Resolution time = 0.0008978736586868763 | Resolution type = None
Job 268: Waiting time = 46.41912146611139 | Resolution time = 0.0007355362176895142 | Resolution type = None
Job 269: Waiting time = 46.40824001515284 | Resolution time = 0.0006825593300163746 | Resolution type = None
Job 270: Waiting time = 46.37898854119703 | Resolution time = 0.0007301862351596355 | Resolution type = None
Job 271: Waiting time = 46.36462200805545 | Resolution time = 0.0006999080069363117 | Resolution type = None
Job 272: Waiting time = 46.34221746632829 | Resolution time = 0.0006708474829792976 | Resolution type = None
Job 273: Waiting time = 46.32607190404087 | Resolution time = 0.0007276246324181557 | Resolution type = None
Job 274: Waiting time = 46.308233343064785 | Resolution time = 0.000731123611330986 | Resolution type = None
Job 275: Waiting time = 46.294248558115214 | Resolution time = 0.0006972858682274818 | Resolution type = None
Job 276: Waiting time = 46.27320871502161 | Resolution time = 0.0007115527987480164 | Resolution type = None
Job 277: Waiting time = 46.25372943887487 | Resolution time = 0.0006935298442840576 | Resolution type = None
Job 278: Waiting time = 46.2443231488578 | Resolution time = 0.0006528394296765327 | Resolution type = None
Job 279: Waiting time = 46.220896093174815 | Resolution time = 0.0007220101542770863 | Resolution type = None
Job 280: Waiting time = 46.20496918819845 | Resolution time = 0.0006572655402123928 | Resolution type = None
Job 281: Waiting time = 46.18701013177633 | Resolution time = 0.0010894620791077614 | Resolution type = None
Job 282: Waiting time = 46.16708398377523 | Resolution time = 0.0011714310385286808 | Resolution type = None
Job 283: Waiting time = 46.15023206593469 | Resolution time = 0.0006884117610752583 | Resolution type = None
Job 284: Waiting time = 46.13621855294332 | Resolution time = 0.0006566643714904785 | Resolution type = None
Job 285: Waiting time = 46.12251376733184 | Resolution time = 0.0006953035481274128 | Resolution type = None
Job 286: Waiting time = 46.10775062767789 | Resolution time = 0.0006567779928445816 | Resolution type = None
Job 287: Waiting time = 46.09033348923549 | Resolution time = 0.0006737108342349529 | Resolution type = None
