Job 182: Waiting time = 20.800249562133104 | Resolution time = 0.00011535175144672394 | Resolution type = None
Job 183: Waiting time = 20.783981129992753 | Resolution time = 0.00013873353600502014 | Resolution type = None
Job 184: Waiting time = 20.76730453595519 | Resolution time = 0.00011460669338703156 | Resolution type = None
Job 185: Waiting time = 20.74858413496986 | Resolution time = 0.00013998989015817642 | Resolution type = None
Job 186: Waiting time = 20.729995222762227 | Resolution time = 9.843055158853531e-05 | Resolution type = None
Job 187: Waiting time = 20.718101983889937 | Resolution time = 9.719980880618095e-05 | Resolution type = None
Job 188: Waiting time = 20.709236420225352 | Resolution time = 9.747687727212906e-05 | Resolution type = None
Job 189: Waiting time = 20.68376294383779 | Resolution time = 9.88515093922615e-05 | Resolution type = None
Job 190: Waiting time = 20.670745586045086 | Resolution time = 9.715370833873749e-05 | Resolution type = None
Job 191: Waiting time = 20.65604965062812 | Resolution time = 9.952858090400696e-05 | Resolution type = None
Job 192: Waiting time = 20.64366966113448 | Resolution time = 0.00013172021135687828 | Resolution type = None
Normal period 3 ended!

----- VACATION Started -----
Start time: 23.714433850720525
Duration: 11.262117824982852
Jobs in the system: 1913
------ VACATION ENDED ------

--- Normal Period 4 starts... ---
Job 193: Waiting time = 31.89559332933277 | Resolution time = 0.0002834433689713478 | Resolution type = None
Job 194: Waiting time = 31.880178172141314 | Resolution time = 0.00012112082913517952 | Resolution type = None
Job 195: Waiting time = 31.866560278926045 | Resolution time = 0.00011405395343899727 | Resolution type = None
Job 196: Waiting time = 31.851496431045234 | Resolution time = 0.0001534479670226574 | Resolution type = None
Job 197: Waiting time = 31.83319469122216 | Resolution time = 0.00011852243915200233 | Resolution type = None
Job 198: Waiting time = 31.818250545766205 | Resolution time = 0.00011373404413461685 | Resolution type = None
Job 199: Waiting time = 31.802356557920575 | Resolution time = 0.00011524651199579239 | Resolution type = None
Job 200: Waiting time = 31.78370133973658 | Resolution time = 0.0001191822811961174 | Resolution type = None
Job 201: Waiting time = 31.77186353178695 | Resolution time = 0.00011509843170642853 | Resolution type = None
Job 202: Waiting time = 31.754053039941937 | Resolution time = 0.00013655191287398338 | Resolution type = None
Job 203: Waiting time = 31.743955708574504 | Resolution time = 0.0001019258052110672 | Resolution type = None
Job 204: Waiting time = 31.72729039611295 | Resolution time = 0.00014777295291423798 | Resolution type = None
Job 205: Waiting time = 31.709831289947033 | Resolution time = 0.00010074302554130554 | Resolution type = None
Job 206: Waiting time = 31.70057579316199 | Resolution time = 0.00010396307334303856 | Resolution type = None
Job 207: Waiting time = 31.67964423634112 | Resolution time = 0.00010280637070536613 | Resolution type = None
Job 208: Waiting time = 31.670227766036987 | Resolution time = 0.00010051298886537552 | Resolution type = None
Job 209: Waiting time = 31.646439956035465 | Resolution time = 0.00010055024176836014 | Resolution type = None
